gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,revenue_per_tenure,charges_x_tenure,avg_monthly_revenue,total_services,high_value,contract_risk,fiber_risk,tenure_risk_med,tenure_risk_low,tenure_risk_vlow
0,0,1,0,-1.2774445836787656,0,1,-1.160322916034919,-0.9942419353101232,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.9012604742329127,1.4822482244071584,-0.7722599853340171,0,0,1,0,0,0,0
1,0,0,0,0.0663274190822359,1,0,-0.2596289419448806,-0.1732441257495937,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,-3.401516061549964,-0.017220517638255592,-2.26974955831978,1,0,0,0,0,1,0
1,0,0,0,-1.2367242199587352,1,1,-0.3626603559551803,-0.959674071202044,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.29089059966059205,0.4485108458286276,-0.7697564993433815,1,0,1,0,0,0,0
1,0,0,0,0.5142514200025698,0,0,-0.7465354629935549,-0.1947662633647771,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,-1.4240027485092848,-0.38390692192671155,-0.3715130869150957,0,0,0,0,0,1,0
0,0,0,0,-1.2367242199587352,1,1,0.1973652331008032,-0.9404697022531112,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15830704973978585,-0.24408636395356478,-0.7543526364509382,1,0,1,1,0,0,0
0,0,0,0,-0.9924020376385532,1,1,1.1595456961969886,-0.6451859741727949,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1.1567670980883404,-1.1507355116409062,-0.6436399268428428,1,1,1,1,0,0,0
1,0,0,1,-0.4223169455581282,1,1,0.8089065291619363,-0.1467994889670401,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1.8710960499538707,-0.3416149346376959,-0.3395645034860236,1,0,1,1,1,0,0
0,0,0,0,-0.9109613101984924,0,0,-1.1636465100352518,-0.8741373704237511,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.2635129154171028,1.060036949389616,-0.949157538697636,0,0,1,0,1,0,0
0,0,1,0,-0.1779947632379461,1,1,1.330710787214099,0.3373492744317471,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,7.078446039104878,-0.23685955150835444,1.7944610191336132,1,1,1,1,1,0,0
1,0,0,1,1.2064976032430856,1,0,-0.2862176939475387,0.5324391741681479,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.23528011332246374,-0.3453209617534685,0.43768205769473567,1,0,0,0,0,0,1
1,0,1,1,-0.7888002190384014,1,1,-0.4922805219681379,-0.7480728289670203,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.6162748960694414,0.3883109835568057,-0.9364955230827967,1,0,1,0,1,0,0
1,0,0,0,-0.6666391278783103,1,0,-1.522594662071134,-0.8631445247495343,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,-2.2502314739696283,1.0150211776352713,-1.2756349569319703,1,0,0,0,1,0,0
1,0,1,0,1.0436161483629645,1,0,1.182810854199314,1.5006704790038297,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1.1226202787771271,1.234400507901396,1.4243047445082035,1,1,0,1,0,0,1
1,0,0,0,0.6771328748826912,1,1,1.2941512532104444,1.2160043388136703,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1.8834075628114644,0.8763123586194259,1.7696785923992782,1,1,1,1,0,1,0
1,0,0,0,-0.3001558543980371,1,1,1.3539759452164248,0.1784165658888543,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,4.365469572851609,-0.4064038066708259,0.5752480998146313,1,1,1,1,1,0,0
0,0,1,1,1.4915401492832985,1,0,1.611554480242174,2.478128710529918,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1.0732676585513792,2.4036982100385806,1.6503912410951886,1,1,0,1,0,0,1
0,0,0,0,0.7992939660427822,1,0,-1.4660935640654862,-0.5558083996047153,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,-1.8115711046682672,-1.1718397394117004,-0.6867818406239461,1,0,0,0,0,1,0
1,0,0,1,1.5729808767233588,1,0,1.393859073220412,2.251693748830891,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0.880528055465576,2.192513667023052,1.4224390085442555,1,1,0,1,0,0,1
0,0,1,1,-0.9109613101984924,1,0,-0.3177918369506949,-0.774164281952812,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,-0.34506535012008493,0.2894960681589907,-0.8406045654469007,1,0,1,0,1,0,0
0,0,0,0,-0.4630373092781585,1,1,0.8404806721650927,-0.1849874869919296,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1.7767745919399938,-0.38917390893962256,-0.3910632065665502,1,1,1,1,1,0,0
1,1,0,0,-1.2774445836787656,0,1,-0.8346107040023594,-0.9899154337997887,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,-0.6482692261732376,1.0661689233081355,-0.768899451167978,0,0,1,0,0,0,0
1,0,1,0,-0.8295205827584317,1,0,-1.4943441130683104,-0.9181308271079156,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,-1.7799969932342936,1.2395891995140564,-1.0936370661588695,1,0,0,0,1,0,0
1,0,0,0,-1.2774445836787656,1,0,-1.4827115340671475,-0.9985242888458624,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,-1.1516701789450408,1.894081818352111,-0.7755862283350966,1,0,1,0,0,0,0
0,0,1,0,1.0436161483629645,1,1,-0.1615829189350795,0.5400105518112329,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,-0.15336032879349448,-0.1686305435002728,0.5125306333338415,1,0,0,0,0,0,1
1,0,1,1,0.6771328748826912,1,0,-0.1715537009360761,0.3039071836758467,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,-0.24966597758164913,-0.11616465071161065,0.44228299181250835,1,0,1,0,0,1,0
0,0,0,0,-0.0965540357978854,1,1,-0.3144682429503628,-0.3316912065719389,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.9512560514071446,0.030363177987127454,-3.112892009093863,1,0,1,0,0,1,0
1,0,1,1,0.5956921474426305,1,1,1.1495749141959914,1.0892334297634156,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1.8979524813880404,0.6847927492835879,1.798328464984078,1,1,1,1,0,1,0
1,0,1,1,-1.2774445836787656,0,0,-1.1486903370337564,-0.99408741739904,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.8922250725164959,1.467388249367908,-0.7721399662566587,0,0,1,0,0,0,0
1,0,1,0,1.6137012404433893,1,1,0.8471278601657574,1.804563062130219,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0.5217264352981769,1.3670112787636366,1.111388608434789,1,1,0,0,0,0,1
0,0,0,1,-0.62591876415828,1,1,-0.0020504069191315,-0.5248385954261489,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,-0.003224322090645456,0.0012833881648443748,-0.8253233353175858,1,0,1,0,1,0,0
0,1,1,0,1.5729808767233588,1,1,1.0498670941860242,1.9800512611463297,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0.6632215901174772,1.6514208622557376,1.2508371328179744,1,1,0,1,0,0,1
1,1,1,0,-1.2367242199587352,1,1,1.0216165451832002,-0.9272253098745368,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0.8194406820916773,-1.2634579249386313,-0.7437292827320116,1,1,1,1,0,0,0
0,0,1,1,-0.2187151269579764,1,0,0.0461417060856861,-0.1798883959261785,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0.20174313216354978,-0.010091889104588468,-0.7865172641564315,1,0,0,0,1,0,0
1,0,0,0,-1.2774445836787656,1,0,-1.481049737066981,-0.9985022148585648,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,-1.1503794072712668,1.8919589647750747,-0.7755690827526168,1,0,1,0,0,0,0
